DATE,T2M1,T2M,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M_MAX,WS10M_MIN,WS10M
17-03-2000,26.9,37.08,17.22,6.96,0,100.21,4.23,2.39,3.02
18-03-2000,27.28,37.62,18.58,4.52,0,100.32,4.28,1.05,2.88
19-03-2000,26.56,38.14,16.16,0.79,0,100.49,4.45,2.74,3.58
20-03-2000,27.28,38.75,17.13,1.22,0,100.36,4.72,0.66,3.11
21-03-2000,28.12,38.57,18.27,3.91,0,100.26,4.66,2.36,3.25
22-03-2000,27.76,37.06,19.01,6.1,0,100.33,5.12,1.95,3.64
23-03-2000,26.96,35.94,18.94,3.05,0,100.67,5.91,3.42,4.8
24-03-2000,27.09,37.24,18.32,2.44,0,100.81,8.07,3.63,5.42
25-03-2000,27.61,38.32,17.8,2.38,0,100.7,6.2,2.2,4.04
26-03-2000,28.76,39.58,18.29,2.32,0,100.6,4.95,1.78,3.45
27-03-2000,29.48,40.08,19.49,2.08,0,100.52,5.37,1.7,3.31
28-03-2000,29.97,40.85,18.81,1.59,0,100.45,5.16,1.02,2.95
29-03-2000,31.27,42.3,19.66,1.77,0,100.37,5.04,0.76,2.73
30-03-2000,31.55,42.21,21.28,3.11,0,100.31,4.1,0.37,2.69
31-03-2000,31.73,41.3,22.88,6.1,0,100.25,5.07,3.16,3.95
01-04-2000,32.14,41.92,23.19,4.15,0,100.24,5.55,3.38,4.16
02-04-2000,32.19,42.76,22.43,3.11,0,100.1,4.6,2.15,3.25
03-04-2000,32.47,43.55,21.76,2.99,0,100.04,4.12,1.48,2.88
04-04-2000,33.26,44.12,23.05,2.69,0,100.01,4.26,0.94,2.91
05-04-2000,32.91,43.26,24.44,3.42,0,100.03,5.03,0.98,2.73
06-04-2000,32.17,43.48,22.15,1.65,0,100.02,3.45,0.32,2.64
07-04-2000,32.08,42.94,21.71,2.81,0,100.18,4.76,0.35,2.86
08-04-2000,32.45,42.78,23.2,4.09,0,100.33,6.88,2.79,4.48
09-04-2000,32.28,43.19,21.6,4.76,0,100.18,3.77,2.76,3.14
10-04-2000,32.58,43.33,21.83,5.55,0,100.09,4.27,2.49,3.2
11-04-2000,33.4,44.08,22.44,6.47,0,100.01,4.5,1.9,2.91
12-04-2000,33.73,44.39,23.03,6.53,0,99.95,4.34,0.58,2.6
13-04-2000,33.57,43.68,23.76,7.32,0,99.82,4.48,1.59,3.05
14-04-2000,33.05,42.81,23.86,9.09,0,99.78,4.75,1.59,3.35
15-04-2000,32.77,42.26,24.45,11.35,0,99.95,4.71,1.29,2.76
16-04-2000,33.42,43,24.67,9.52,0,100.09,4.13,1.33,2.71
17-04-2000,32.77,42.67,23.73,8.12,0,100.06,5.09,2.01,3.8
18-04-2000,33.4,43.93,24.09,8.48,0,100.11,5.65,2.09,3.99
19-04-2000,33.44,44.13,23.37,6.84,0,100.19,5.68,2.93,3.79
20-04-2000,34.01,44.08,23.77,6.71,0,100.1,6.23,3.22,4.71
21-04-2000,33.9,43.05,24.31,7.57,0,100.03,7.3,3.05,5.01
22-04-2000,33.41,42.93,23.96,10.68,0,100.06,6.63,3.22,5.25
23-04-2000,33.48,42.85,23.88,10.93,0,100.04,6.98,2.98,5.27
24-04-2000,33.49,43.24,24.59,11.96,0,99.97,9.31,3.69,6.59
25-04-2000,33.83,44.69,24.37,12.57,0,99.8,8.3,2.89,6.31
26-04-2000,34.46,45.12,24.69,12.15,0,99.78,8.45,3.12,6.5
27-04-2000,34.82,45.4,24.99,12.21,0,99.8,9.37,2.63,6.52
28-04-2000,34.51,44.83,24.98,11.9,0,99.84,8.05,3.38,6.05
29-04-2000,34.2,44.07,24.92,11.72,0,99.97,7.45,3.52,5.75
30-04-2000,34.81,44.79,25.38,9.89,0,100.11,7.41,2.8,5.48
01-05-2000,34.26,44.56,24.53,9.77,0,100.09,6.02,2.91,4.52
02-05-2000,34.87,45.15,25.07,9.83,0,100.06,4.54,1.99,3.37
03-05-2000,35.66,45.58,25.4,8.73,0,100.08,6.3,2.68,4.34
04-05-2000,34.87,44.72,25.18,9.77,0,100.05,6.2,2.43,4.21
05-05-2000,35.37,44.76,25.76,10.07,0,100,4.63,2.18,3.37
06-05-2000,35.51,45.19,26.2,9.7,0,99.93,4.55,2.05,3.3
07-05-2000,34.69,43.65,26.62,10.86,0.01,99.97,7.11,1.52,3.48
08-05-2000,34.19,43.34,26.89,12.82,0,99.95,8.97,2.39,4.39
09-05-2000,34.77,43.58,27.12,12.27,0,100.01,5.75,2.51,4.16
10-05-2000,35.09,43.15,27.58,12.15,0.04,99.94,4.57,2.78,3.84
11-05-2000,35.05,42.38,27.71,12.51,0,99.91,6.55,2.91,4.38
12-05-2000,34.4,40.23,28.4,12.76,0.01,99.98,5.77,3.39,4.8
13-05-2000,33.87,39.54,28.74,12.57,0,100.09,6.42,4.2,5.04
14-05-2000,34.13,41.33,27.58,12.15,0,100.07,7.65,3.36,5.3
15-05-2000,33.29,40.19,27.15,14.16,0.02,99.98,7.9,2.08,6.01
16-05-2000,32.14,37.81,28.31,16.48,0.01,99.92,7.59,4.91,6.49
17-05-2000,31.24,36.65,27.67,17.76,0.03,99.76,7.72,3.98,6.07
18-05-2000,34.06,41.64,27.51,16.66,0,99.53,7.68,0.44,3.75
19-05-2000,32.72,37.51,28.68,17.46,28.3,99.53,6.39,0.54,3.34
20-05-2000,31.11,37.9,25.69,16.24,23.78,99.72,6.58,2.79,4.59
21-05-2000,33.49,40.55,27.05,16.42,0,99.75,5.92,2.71,4.37
22-05-2000,33.81,40.99,27.69,15.69,0,99.77,5.45,2.23,4.47
23-05-2000,33.51,40.96,27.28,14.77,0,99.75,6.75,3.1,4.59
24-05-2000,33.81,41.41,27.19,14.59,0,99.7,6.52,2.35,4.35
25-05-2000,34.32,41.61,27.83,15.08,0,99.66,5.05,2.78,4.22
26-05-2000,34.68,42.4,28.05,14.89,0.03,99.48,5.87,3.19,4.69
27-05-2000,34.55,42.15,27.8,14.83,0.01,99.55,5,1.87,4.16
28-05-2000,34.41,41.67,28.31,15.62,0,99.67,8.23,2.71,4.23
29-05-2000,34.57,40.85,29.36,16.42,0,99.8,7.12,1.79,4.38
30-05-2000,34.15,40.11,29,16.91,0.08,99.82,7.62,3.48,4.97
